image_path,true_label,pred_label,confidence,correct,gradcam_focus_ratio,confidence_explanation_reliability_score
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (357).jpg,normal,benign,0.672342836856842,False,1.0,0.67234284
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (369).jpg,normal,normal,0.5786221027374268,True,1.0,0.5786221
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (446).jpg,malignant,malignant,0.9945681691169739,True,1.0,0.99456817
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (248).jpg,normal,normal,0.9096540808677673,True,1.0,0.9096541
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (337).jpg,normal,normal,0.8632850050926208,True,1.0,0.863285
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (392).jpg,normal,normal,0.7476215362548828,True,1.0,0.74762154
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (290).jpg,malignant,malignant,0.5111503005027771,True,1.0,0.5111503
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (372).jpg,normal,normal,0.801160991191864,True,1.0,0.801161
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (464).jpg,malignant,malignant,0.9930793642997742,True,1.0,0.99307936
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (194).jpg,normal,normal,0.7853216528892517,True,1.0,0.78532165
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (263).jpg,normal,normal,0.8107140064239502,True,1.0,0.810714
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (111).jpg,normal,normal,0.9494979977607727,True,1.0,0.949498
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (289).jpg,malignant,malignant,0.6227169632911682,True,1.0,0.62271696
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (399).jpg,malignant,malignant,0.9884822964668274,True,1.0,0.9884823
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (525).jpg,malignant,malignant,0.9764989018440247,True,1.0,0.9764989
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (45).jpg,normal,normal,0.6724433898925781,True,1.0,0.6724434
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (55).jpg,malignant,malignant,0.9473734498023987,True,1.0,0.94737345
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (61).jpg,normal,normal,0.6047970652580261,True,1.0,0.60479707
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (263).jpg,malignant,malignant,0.6929976344108582,True,1.0,0.69299763
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (100).jpg,benign,benign,0.5266469717025757,True,1.0,0.526647
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (323).jpg,normal,normal,0.8333925008773804,True,1.0,0.8333925
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (190).jpg,malignant,malignant,0.9994947910308838,True,1.0,0.9994948
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (70).jpg,benign,normal,0.8240996599197388,False,1.0,0.82409966
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (156).jpg,malignant,malignant,0.9990401864051819,True,1.0,0.9990402
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (221).jpg,normal,normal,0.9077417850494385,True,1.0,0.9077418
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (138).jpg,normal,normal,0.8024644255638123,True,1.0,0.8024644
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (387).jpg,malignant,malignant,0.9862109422683716,True,1.0,0.98621094
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (57).jpg,benign,normal,0.8839907050132751,False,1.0,0.8839907
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (279).jpg,normal,normal,0.6798221468925476,True,1.0,0.67982215
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (26).jpg,benign,normal,0.5159950256347656,False,1.0,0.515995
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (150).jpg,malignant,malignant,0.9955105185508728,True,1.0,0.9955105
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (539).jpg,malignant,malignant,0.945816695690155,True,1.0,0.9458167
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (256).jpg,normal,normal,0.8852024674415588,True,1.0,0.88520247
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (541).jpg,malignant,malignant,0.9830476641654968,True,1.0,0.98304766
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (25).jpg,malignant,malignant,0.9924455285072327,True,1.0,0.9924455
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (11).jpg,benign,normal,0.7937732338905334,False,1.0,0.79377323
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (103).jpg,malignant,malignant,0.9703895449638367,True,1.0,0.97038954
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (112).jpg,malignant,malignant,0.3995216488838196,True,1.0,0.39952165
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (119).jpg,normal,normal,0.8537325859069824,True,1.0,0.8537326
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (14).jpg,normal,normal,0.8196167349815369,True,1.0,0.81961673
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (517).jpg,malignant,malignant,0.9734804630279541,True,1.0,0.97348046
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (190).jpg,normal,normal,0.6964477896690369,True,1.0,0.6964478
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (212).jpg,normal,normal,0.792871356010437,True,1.0,0.79287136
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (200).jpg,malignant,malignant,0.9823322296142578,True,0.9802313,0.9629128
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (19).jpg,benign,normal,0.7924157381057739,False,1.0,0.79241574
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (175).jpg,malignant,malignant,0.38621753454208374,True,1.0,0.38621753
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (35).jpg,malignant,malignant,0.6492437124252319,True,1.0,0.6492437
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (33).jpg,malignant,malignant,0.6425681114196777,True,1.0,0.6425681
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (162).jpg,malignant,benign,0.7375264167785645,False,1.0,0.7375264
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (322).jpg,normal,normal,0.9290169477462769,True,1.0,0.92901695
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (141).jpg,malignant,malignant,0.9959931373596191,True,1.0,0.99599314
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (325).jpg,normal,normal,0.8734385967254639,True,1.0,0.8734386
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (26).jpg,normal,benign,0.5938999652862549,False,1.0,0.59389997
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (73).jpg,benign,normal,0.8182321786880493,False,1.0,0.8182322
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (379).jpg,normal,normal,0.7315289378166199,True,1.0,0.73152894
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (5).jpg,malignant,malignant,0.9161139130592346,True,1.0,0.9161139
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (72).jpg,normal,normal,0.9621044397354126,True,1.0,0.96210444
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (304).jpg,malignant,malignant,0.4086019694805145,True,1.0,0.40860197
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (36).jpg,benign,normal,0.779312789440155,False,1.0,0.7793128
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (183).jpg,normal,normal,0.802518904209137,True,1.0,0.8025189
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (97).jpg,normal,normal,0.7809464931488037,True,1.0,0.7809465
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (66).jpg,benign,normal,0.6383256912231445,False,1.0,0.6383257
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (2).jpg,benign,benign,0.7561063170433044,True,1.0,0.7561063
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (406).jpg,normal,normal,0.7671996355056763,True,1.0,0.76719964
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (175).jpg,normal,normal,0.7149322628974915,True,1.0,0.71493226
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (116).jpg,malignant,normal,0.44176071882247925,False,1.0,0.44176072
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (55).jpg,normal,benign,0.5856308341026306,False,1.0,0.58563083
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (438).jpg,malignant,malignant,0.5871897339820862,True,1.0,0.58718973
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (283).jpg,malignant,malignant,0.9488743543624878,True,1.0,0.94887435
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (300).jpg,malignant,malignant,0.7872905731201172,True,1.0,0.7872906
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (260).jpg,normal,normal,0.7218993306159973,True,1.0,0.72189933
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (29).jpg,malignant,malignant,0.8325566649436951,True,1.0,0.83255666
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (129).jpg,malignant,malignant,0.6186900734901428,True,1.0,0.6186901
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (95).jpg,malignant,malignant,0.9765967726707458,True,1.0,0.9765968
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (135).jpg,malignant,malignant,0.39070451259613037,True,1.0,0.3907045
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (344).jpg,normal,malignant,0.7212903499603271,False,1.0,0.72129035
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (184).jpg,malignant,malignant,0.9731210470199585,True,1.0,0.97312105
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (52).jpg,benign,benign,0.5092500448226929,True,1.0,0.50925004
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (474).jpg,malignant,malignant,0.9718297123908997,True,1.0,0.9718297
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (510).jpg,malignant,malignant,0.8635409474372864,True,1.0,0.86354095
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (278).jpg,normal,normal,0.9536424875259399,True,1.0,0.9536425
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (504).jpg,malignant,normal,0.7355168461799622,False,1.0,0.73551685
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (345).jpg,malignant,malignant,0.9722496271133423,True,1.0,0.9722496
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (60).jpg,malignant,malignant,0.9578296542167664,True,1.0,0.95782965
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (91).jpg,benign,benign,0.49606528878211975,True,1.0,0.4960653
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (321).jpg,malignant,malignant,0.8752036690711975,True,1.0,0.87520367
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (319).jpg,normal,normal,0.9575148820877075,True,1.0,0.9575149
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (370).jpg,normal,normal,0.8584374785423279,True,1.0,0.8584375
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (259).jpg,malignant,benign,0.8085474967956543,False,1.0,0.8085475
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (162).jpg,normal,normal,0.9832658171653748,True,1.0,0.9832658
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (231).jpg,malignant,malignant,0.9806607365608215,True,0.98364186,0.964619
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (236).jpg,malignant,malignant,0.9889703989028931,True,0.9910102,0.98007977
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (406).jpg,malignant,malignant,0.99104243516922,True,1.0,0.99104244
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (249).jpg,malignant,malignant,0.9976599216461182,True,0.9914315,0.9891114
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (234).jpg,normal,normal,0.8294874429702759,True,1.0,0.82948744
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (251).jpg,malignant,malignant,0.9972158670425415,True,0.99555427,0.99278253
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (245).jpg,normal,normal,0.9109666347503662,True,1.0,0.91096663
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (35).jpg,normal,benign,0.525260329246521,False,1.0,0.5252603
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (172).jpg,malignant,malignant,0.7791838645935059,True,1.0,0.77918386
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (499).jpg,malignant,normal,0.4522862434387207,False,1.0,0.45228624
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (30).jpg,normal,normal,0.7630958557128906,True,1.0,0.76309586
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (69).jpg,benign,normal,0.836567223072052,False,1.0,0.8365672
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (378).jpg,malignant,malignant,0.6885343194007874,True,1.0,0.6885343
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (142).jpg,normal,normal,0.7001462578773499,True,1.0,0.70014626
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (156).jpg,normal,normal,0.7098168730735779,True,1.0,0.7098169
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (270).jpg,malignant,malignant,0.9929540753364563,True,1.0,0.9929541
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (508).jpg,malignant,malignant,0.9629372954368591,True,1.0,0.9629373
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (16).jpg,benign,normal,0.7545368075370789,False,1.0,0.7545368
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (540).jpg,malignant,malignant,0.9784516096115112,True,1.0,0.9784516
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (354).jpg,normal,normal,0.9603413939476013,True,1.0,0.9603414
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (282).jpg,normal,normal,0.7178420424461365,True,1.0,0.71784204
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (374).jpg,malignant,malignant,0.7233524322509766,True,1.0,0.72335243
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (16).jpg,malignant,malignant,0.9931886196136475,True,1.0,0.9931886
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (296).jpg,malignant,malignant,0.8036730885505676,True,1.0,0.8036731
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (20).jpg,malignant,malignant,0.917930006980896,True,1.0,0.91793
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (391).jpg,normal,normal,0.7758644223213196,True,1.0,0.7758644
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (547).jpg,malignant,malignant,0.9726894497871399,True,1.0,0.97268945
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (112).jpg,normal,normal,0.9269974231719971,True,1.0,0.9269974
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (453).jpg,malignant,malignant,0.98989337682724,True,1.0,0.9898934
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (373).jpg,normal,normal,0.8420915007591248,True,1.0,0.8420915
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (357).jpg,malignant,malignant,0.8631251454353333,True,1.0,0.86312515
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (109).jpg,normal,normal,0.7420831322669983,True,1.0,0.74208313
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (158).jpg,normal,normal,0.9687675833702087,True,1.0,0.9687676
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (182).jpg,normal,normal,0.7304302453994751,True,1.0,0.73043025
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (19).jpg,normal,normal,0.7654063701629639,True,1.0,0.76540637
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (167).jpg,malignant,normal,0.3633640706539154,False,1.0,0.36336407
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (45).jpg,benign,normal,0.8675768971443176,False,1.0,0.8675769
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (492).jpg,malignant,malignant,0.9802901148796082,True,1.0,0.9802901
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (376).jpg,malignant,malignant,0.973834216594696,True,1.0,0.9738342
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (160).jpg,malignant,benign,0.4295763075351715,False,1.0,0.4295763
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (386).jpg,normal,normal,0.7536019682884216,True,1.0,0.75360197
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (253).jpg,malignant,malignant,0.9821555614471436,True,0.99974006,0.9819003
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (281).jpg,malignant,malignant,0.9105197787284851,True,1.0,0.9105198
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (292).jpg,normal,normal,0.9755526185035706,True,1.0,0.9755526
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (387).jpg,normal,normal,0.8828906416893005,True,1.0,0.88289064
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (153).jpg,malignant,malignant,0.9997623562812805,True,1.0,0.99976236
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (274).jpg,malignant,malignant,0.81536865234375,True,1.0,0.81536865
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (59).jpg,malignant,malignant,0.9615508317947388,True,1.0,0.96155083
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (403).jpg,malignant,malignant,0.9906368851661682,True,1.0,0.9906369
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (149).jpg,malignant,malignant,0.996864378452301,True,1.0,0.9968644
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (498).jpg,malignant,malignant,0.8864366412162781,True,1.0,0.88643664
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (90).jpg,benign,benign,0.49606528878211975,True,1.0,0.4960653
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (74).jpg,malignant,malignant,0.8958792090415955,True,1.0,0.8958792
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (42).jpg,malignant,malignant,0.4581044018268585,True,1.0,0.4581044
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (101).jpg,normal,normal,0.9671282172203064,True,1.0,0.9671282
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (161).jpg,normal,normal,0.9462502598762512,True,1.0,0.94625026
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (145).jpg,normal,normal,0.892810583114624,True,1.0,0.8928106
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (368).jpg,normal,normal,0.6180031895637512,True,1.0,0.6180032
